Darlene,0,The Breakup,Desc,-200,0,https://drive.google.com/file/d/1W9afH-2Nt-Pfr9B1OIZa6FxqkZDjAx6Z/preview
Darlene,2,Beauty Products,Desc,0,-90,
Darlene,4,The Game Tournament,Desc,-50,0,https://drive.google.com/file/d/1PqEcv2UVpB1AEm6ux8OBY5Dq8bGqnCMZ/preview
Darlene,11,The Scholarship,Desc,125,0,https://drive.google.com/file/d/1PRYqqcQQNnJ8lS3cJotNBW3CGo-diN6x/preview
Darlene,13,Dance Competition,Desc,250,0,https://drive.google.com/file/d/1alwsRHDkBUe0xgz03h_VVfiwAv0s4g6t/preview
Darlene,15,Work Performance,Desc,500,0,
Orma,0,Wedding Cancelled,Desc,0,0,
Orma,2,Breaking Backs,Desc,-300,0,https://drive.google.com/file/d/19CZsuZIKIvmBxq7Pq8ybrUhJIFOHTHHp/preview
Orma,4,Orma is Fat,Desc,-75,0,https://drive.google.com/file/d/1UvMEVFng0RiLw7uLAWP664-INQimqvHi/preview
Orma,11,Lottery,Desc,150,0,
Orma,13,Investment Pays Off,Desc,300,0,https://drive.google.com/file/d/1vg6JgohUqHUplX5u-ZlOOtn5ZYIrZH1U/preview
Orma,15,Promotion,Desc,0,1000,https://drive.google.com/file/d/11YCpPvwpZftarx-u-2J4c0YGdiTFeZzH/preview
Bean,0,The Crash,Desc,-750,0,https://drive.google.com/file/d/1EQuCB9P4v8AFhsK1-9uxn4aR086_M9aA/preview
Bean,2,Awry Investment,Desc,-500,0,https://drive.google.com/file/d/1RO5wpIARFXOepDzSYDsAlLWeoxS2h12L/preview
Bean,4,Time off with Son,Desc,-200,0,
Bean,11,The Basketball Competition,Desc,100,0,https://drive.google.com/file/d/1dImaFJbm15EiDJzp2PG05OZrI4EOQyM1/preview
Bean,13,Birthday Present,Desc,250,0,
Bean,15,Free Month of Daycare,Desc,200,0,https://drive.google.com/file/d/11gcNIfYPGp1G0pagFoSclDRlEJuxhFy0/preview
Darlene,3000,Car: Acquired,Desc,0,0,https://drive.google.com/file/d/1fxl3anVCXdQ8fevHkWhiMp3Ov_jcj1K8/preview
Orma,3000,Marriage,Desc,0,0,https://drive.google.com/file/d/1rasmYdsoe9h6Ijrp6bQJxcpJyfsda44A/preview
Bean,3000,A Respectable Education,Desc,0,0,https://drive.google.com/file/d/1qNpGZ5sGQWbYqlQSx4ma26vls_ESPDAp/preview
